,tweet,username,date,time,likes_count,cleaned_tweets
872,Recap Alerts/Ideas $AAPL 146&gt;147.30💸 $BCTX 5 &gt;9.40 +45%💰 $BCTXW 3.20&gt;5.20 +40%💰 $FB 350&gt;354💰 $SPY 438&gt;444💰 $QS BO💸 $DMYI 10&gt;11.40💰discord $CRM 278&gt;286💸 $TSLA 763&gt;775💸 $AFRM🔻 $UFAB void Other $UPST 💰 $DATS 4&gt;12💰 $PAVM .90/1.72&gt; 9 #IRA 💰 $APPS 51&gt;74 #LT AllTimestamped,ripster47,2021-09-25,04:39:25,104,recap alerts ideas aapl 146 gt 147 30 bctx 5 gt 9 40 45 bctxw 3 20 gt 5 20 40 fb 350 gt 354 spy 438 gt 444 qs dmyi 10 gt 11 40discord crm 278 gt 286 tsla 763 gt 775 afrm ufab void upst dats 4 gt 12 pavm 90 1 72 gt 9 apps 51 gt 74 alltimestamped
878,This is a $2.4 trillion company with over $70 billion of net cash and these zero-day exploits were reported over four months ago and are still not fixed. $AAPL  Tim Cook really cares about privacy.  https://t.co/IL75Dn273Y,marceloplima,2021-09-25,04:34:48,16,2 4 trillion company 70 billion net cash zero-day exploits reported four months ago still fixed aapl tim cook really cares privacy
885,A few calls from Discord this week - $AAPL (144p) = 2.0 to 3.62 (81%) $AFRM (125c) = 1.25 to 8.60 (588%) $DIS (175c) = 1.5 to 2.4 (60%) $SNAP (77c) = 1.15 to 6.50 (465%) $QS (25c) = 0.55 to 4.71 (756%)  Great week. Hope y'all had a good one too.  Have a good weekend!  https://t.co/prq0StPlEN,wealthbrah,2021-09-25,04:31:24,15,calls discord week - aapl 144p 2 0 3 62 81 afrm 125c 1 25 8 60 588 dis 175c 1 5 2 4 60 snap 77c 1 15 6 50 465 qs 25c 0 55 4 71 756 great week hope y'all good good weekend
898,Solid day guys!  Big winners on  $FB $TSLA $AAPL $SPY $AMZN  Will post up new trade Ideas on Sunday. have a great weekend everyone!,magicmiketrader,2021-09-25,04:23:35,13,solid day guys big winners fb tsla aapl spy amzn post new trade ideas sunday great weekend everyone
921,Most Traded Contracts  $TSLA 24 September $700 Call $AAPL 24 September $147 Call $TSLA 24 September $765 Call $F November $14 Put $T October $27 Put $FB 24 September $350 Call $TSLA 24 September $760 Call $T November $27 Put $F 01 October $14 Call $AAPL 24 September $146 Call,marketrebels,2021-09-25,04:15:00,19,traded contracts tsla 24 september 700 call aapl 24 september 147 call tsla 24 september 765 call f november 14 put october 27 put fb 24 september 350 call tsla 24 september 760 call november 27 put f 01 october 14 call aapl 24 september 146 call
924,$AAPL finishes the day mostly flat at $146.92,marketrebels,2021-09-25,04:11:40,12,aapl finishes day mostly flat 146 92
937,FINAL 9-3✏️ • $RBLX 79c .95 to 4.7 (395%) 💰 $AMD 103c 1.11 to 3.45 (210%) 💰 $AAPL 145c 1.18 to 2.23 $AMC 40c 1.19 to 2.25 $SNOW 325c 1.25 to 2.8 (124%) 💰 $BB 12.5c 1 to 1.57  $SPY 436c .62 to .95  $ZM $CHWY lotto ☠️ • HAGW🥂 • Shoutout @JPATrades if you had fun this week❤️  https://t.co/orMZD7yM9J,jpatrades,2021-09-25,04:06:35,36,final 9-3 rblx 79c 95 4 7 395 amd 103c 1 11 3 45 210 aapl 145c 1 18 2 23 amc 40c 1 19 2 25 snow 325c 1 25 2 8 124 bb 12 5c 1 1 57 spy 436c 62 95 zm chwy lotto hagw shoutout fun week
939,Friday Option Volumes  $TSLA 2.084m (55% call 45% put) $AAPL 946k (60% call 40% put) $F 732k (40% call 60% put) $FB 558k (65% call 35% put) $BABA 479k (63% call 37% put) $AMC 437k (60% call 40% put) $NVDA 434k (69% call 31% put) $AMZN 413k (60% call 40% put),marketrebels,2021-09-25,04:06:22,38,friday option volumes tsla 2 084m 55 call 45 put aapl 946k 60 call 40 put f 732k 40 call 60 put fb 558k 65 call 35 put baba 479k 63 call 37 put amc 437k 60 call 40 put nvda 434k 69 call 31 put amzn 413k 60 call 40 put
946,1000% gainers x 2 on $TSLA  Everyone have a great weekend. $BBIG $FB $AAPL $UAA  https://t.co/6Tc7Jaekio,swan1427,2021-09-25,04:02:49,21,1000 gainers x 2 tsla everyone great weekend bbig fb aapl uaa
981,"Masterful week in a crazy market over at @TT3Private, only loser was spy 450C we held over the weekend. Cheers hope everyone has a great weekend.  $QQQ 360P 3.6---&gt;7 $SPY 430P .33---&gt;.72 $AAPL 145C 2.95 ---&gt;4.20 $ROKU 370C 2.72---&gt;4.5 $PLTR 29C .38---&gt;.87 $SNAP 83C .97 ---&gt; 2.28",tradingthomas3,2021-09-25,03:47:48,22,masterful week crazy market loser spy 450c held weekend cheers hope everyone great weekend qqq 360p 3 6--- gt 7 spy 430p 33--- gt 72 aapl 145c 2 95 --- gt 4 20 roku 370c 2 72--- gt 4 5 pltr 29c 38--- gt 87 snap 83c 97 --- gt 2 28
