,date,flair_weighted,vader_weighted,finbert_weighted
64,2021-04-01,-0.32949982778415615,0.29295,0.9000695943832397
65,2021-04-02,0.23450908952496957,0.19355,0.8576653897762299
66,2021-04-05,-0.29817473405454137,-0.04961,0.9001508086919785
67,2021-04-06,-0.08775,0.7875,0.8552913069725037
68,2021-04-08,-0.9984,0.0,0.9238450527191162
69,2021-04-09,0.696,0.8176,0.9058076739311218
70,2021-04-12,-0.3356379015065718,0.17232799999999998,0.8386505392193795
71,2021-04-13,0.30288719999999997,0.0,0.8642944991588593
72,2021-04-14,0.8241572769953052,0.7667999999999999,0.8191113471984863
73,2021-04-15,-0.04517731751824819,0.3086375,0.8176591582596302
74,2021-04-16,-0.1533107010231148,0.59748,0.8222841739654541
75,2021-04-19,0.4027110635262869,0.182565,0.8645019233226776
76,2021-04-21,-0.9993,0.0,0.9265314340591432
77,2021-04-22,0.2814348608837971,-0.2787,0.9022738039493561
78,2021-04-23,-0.1298734175241659,0.25766666666666665,0.7838178873062134
79,2021-04-26,0.04137295443727219,0.172325,0.8334315851330758
80,2021-04-27,-0.3154230523627075,0.02840000000000001,0.7845521966616312
81,2021-04-28,-0.020546846846846895,0.09866666666666667,0.897635281085968
82,2021-04-29,0.02156301477832512,0.26504545454545453,0.8411055640740828
83,2021-04-30,-0.1767367816091954,0.29323750000000004,0.8489608392119408
84,2021-05-03,-0.045110519659527504,0.1518125,0.8779255449771881
85,2021-05-04,-0.32939999999999997,0.12040000000000001,0.7847063640753428
86,2021-05-05,-0.1987896878251821,0.12916666666666665,0.9143475393454233
87,2021-05-06,0.18815861696380334,0.3447,0.9119339187939962
88,2021-05-07,-0.39347349605522686,0.198725,0.793161079287529
89,2021-05-10,0.0589745285352786,0.19722333333333336,0.895400403936704
90,2021-05-11,0.21905742924528301,0.2508333333333333,0.9195560415585836
91,2021-05-12,-0.4359011312217195,-0.02755000000000002,0.8860849291086197
92,2021-05-13,0.20151205317577547,0.18741999999999998,0.9034743070602417
