,Unnamed: 0,Username,Tweet,Datetime,Number of Followers,Number of Comments,Number of Retweets,Number of Likes,cleaned Tweet
285,285,goto_nikkei,"◆NASDAQ 一転大幅安に　
・NASDAQ朝は上昇もその売り強まる
・いまは2.2%安に
・人気ETF「ARKK」が9%安と急落
　→組み入れ上位のTesla, Square, Roku, Teladocなど軒並み急落 https://t.co/fzwQjeq59S https://t.co/trxKWNmz2A",2021-03-05 16:24:57+00:00,249769,1,70,382,nasdaq nasdaq etfarkk9 tesla square roku teladoc
287,287,lightcrypto,"Kathy Woods party is over. Wouldn't be surprised if its Night of the Long Knives for her portfolio companies given the reflexivity of red into redemption into further red.

And given her recent comments, only a matter of time before ARKK pivots heavily into crypto. https://t.co/5kMfbOVVl5",2021-03-05 15:57:27+00:00,71200,16,11,217,kathy wood party surprise night long knife portfolio company give reflexivity red redemption red give recent comment matter time arkk pivot heavily crypto
288,288,zerohedge,The nasdaq will never rebound as long as ARKK keeps dumping,2021-03-05 14:57:00+00:00,1102346,47,88,1023,nasdaq never rebound long arkk keep dump
289,289,arielsbdar,"Cuando todos nos dimos cuenta que tecnología era el futuro y compramos acciones de futuro $TSLA $ARKK, empezaron a bajar. 

Cuando todos nos dimos cuenta que ARGY “no sirve para nada, es una mierda” y vendimos acciones y bonos argentinos, empezaron a subir. 

Así es el mercado.",2021-03-05 04:03:58+00:00,61200,31,12,236,cuando todos no dimos cuenta que tecnología era el futuro compramos acciones de futuro tsla arkk empezaron bajar cuando todos no dimos cuenta que argy sirve para nada e una mierda vendimos acciones bonos argentinos empezaron subir así e el mercado
290,290,alsabban1982,"(رأيي الشخصي) للمستثمر طويل المدى:
▪️هذه الشركات لا خوف منها $AMD $AAPL $NIO $PLTR
▪️وهذه الصناديق ايضا لا خوف منها $ARKK $ARKW $ICLN
▪️هذه ما اعرفها $DQ $SSTK

بشكل عام، كمستثمر:
▪️ لا تسمح للأيام الحمراء بتغيير خططك
▪️المضارب وضعه مختلف https://t.co/eDeZVgfg0H",2021-03-05 03:56:04+00:00,134780,4,21,288,رأيي الشخصي للمستثمر طويل المدى هذه الشركات لا خوف منها amd aapl nio pltr وهذه الصناديق ايضا لا خوف منها arkk arkw icln هذه ما اعرفها dq sstk بشكل عام كمستثمر لا تسمح للأيام الحمراء بتغيير خططك المضارب وضعه مختلف
292,292,garyblack00,"Other than a lower-than-expected Feb payrolls number tomorrow, the other potential near-term positive catalyst is an updated $tsla price target from $ARKK.",2021-03-04 18:26:15+00:00,85532,65,31,731,low expect feb payroll number tomorrow potential near term positive catalyst update tsla price target arkk
294,294,DougKass,Ark Invest continues to reduce its positions in large cap liquid stocks and into smaller cap illiquid stocks today - according to their activity email. $ARKK's  virtuous cycle is turning vicious.  @jimcramer @tomkeene,2021-03-04 02:22:00+00:00,108150,49,49,430,invest continue reduce position large cap liquid stock small cap illiquid stock today accord activity email arkk virtuous cycle turn vicious
295,295,StockDweebs,"When one of the modern-day GOAT's @CathieDWood is losing millions, it shows it's been a tough market. 

Her $ARKK fund has broken the uptrend :/

Seems as though people are taking money out of over-valued stocks and going into more undervalued companies. https://t.co/mg5jyoBTXZ",2021-03-04 00:10:05+00:00,180524,39,35,341,one modern day goat lose million show tough market arkk fund break uptrend seem though people take money value stock go undervalue company
296,296,ChartingOptions,$ARKK with another ~2 million $PLTR shares added today,2021-03-03 23:57:48+00:00,53463,21,38,399,arkk another million pltr share add today
297,297,Dividend_Dollar,"Tech stocks have been under siege. Here are some with the % they are off their 52wk highs

$FSLY 🔴50%
$LMND 🔴45%
$SKLZ 🔴34%
$TDOC 🔴34%
$TSLA 🔴27%
$RDFN 🔴27%
$ROKU 🔴24%
$SPOT 🔴23%
$ARKK 🔴22%
$SHOP 🔴19%
$ARKW 🔴18%
$AAPL 🔴16%
$ARKF 🔴15%

Have you been a Buyer or Seller?",2021-03-03 23:43:25+00:00,29589,36,34,227,tech stock siege 52wk high fsly lmnd sklz tdoc tsla rdfn roku spot arkk shop arkw aapl arkf buyer seller
298,298,EricBalchunas,"$ARKK got smacked today, down to only +155% and 5x SPX in past 12mos..    https://t.co/uegzNdDsEY",2021-03-03 22:41:26+00:00,71639,19,16,209,arkk get smack today 5x spx past 12mos
299,299,zerohedge,Got Wood? ARKK Crashes Into Bear Market https://t.co/82zmwy1tkj,2021-03-03 21:40:36+00:00,1102347,31,29,202,get wood arkk crash bear market
300,300,NoTimeZone_,"I think $CCIV $FUBO $QQQJ &amp; $ARKK are the future stocks to buy in the present. 

*This is not investment advice*",2021-03-03 21:15:00+00:00,42811,11,10,229,think cciv fubo qqqj amp arkk future stock buy present investment advice
301,301,TaroTo6,"These past few weeks got me feeling like 😂

$SPY $QQQ $ARKK 📉

@PoundingDaTable https://t.co/L3cG4sKs4D",2021-03-03 19:44:12+00:00,868,10,29,330,past week get feel like spy qqq arkk
302,302,StanphylCap,"Serious question:

Have any of you ever heard a legitimate, FINRA-licensed public money manager make a statement such as this?

$ARKK https://t.co/u5ToYZKOX5",2021-03-03 19:19:40+00:00,9749,47,27,244,serious question ever hear legitimate finra license public money manager make statement arkk
303,303,LynAldenContact,"I wouldn't classify bitcoin in the same bucket as $TSLA and $ARKK. They could decouple in terms of performance. 

Keep in mind the previous bitcoin bull run occurred throughout 2017, a period of strong synchronized global growth. 

It's mostly about the adoption cycle. https://t.co/ByPB36bez5 https://t.co/CrbScCrhon",2021-03-03 18:03:31+00:00,272284,47,113,776,classify bitcoin bucket tsla arkk could decouple term performance keep mind previous bitcoin bull run occur throughout period strong synchronize global growth mostly adoption cycle
304,304,CJ_Johnson17th,"It’s always 

“Good morning handsome, how did you sleep?”

It’s never 

“Get yo ass up, drop a bag on ARKK under $130”",2021-03-03 16:15:12+00:00,180479,19,49,500,always good morning handsome sleep never get yo as drop bag arkk
305,305,kevintrades,"Here are some stocks/ ETFs I added (or bought more of) to my long term portfolio today: 

-DKNG
-ACIC 
-ARKG
-ARKK
-ARKW
-CLOV 
-FUBO
-PENN
-SOS
-SPCE 
-ZOM 
-NIO
-TSLA
-PYPL
-AAL",2021-03-01 21:44:05+00:00,16486,4,18,215,stock etf add buy long term portfolio today dkng acic arkg arkk arkw clov fubo penn so spce zom nio tsla pypl aal
307,307,jaksburner,CATHIE IM COMING AND THERE'S NOWHERE YOU CAN HIDE. ARKK 120 EOW https://t.co/pzJ4KGFs13,2021-02-28 20:20:13+00:00,3293,21,15,344,cathie im come nowhere hide arkk eow
308,308,BradMunchen,"3/ @ARKInvest is so bad at risk management that it invited Nikko to add to positions in which ARK was already oversized. 

This creates a circular firing squad, where $ARKK selling spurs Nikko selling &amp; vice versa. 

ARK's biggest ownership stakes (LEFT); Nikko's (RIGHT). https://t.co/AxrnjfwoZ1",2021-02-28 14:14:18+00:00,8274,4,20,215,bad risk management invite nikko add position already oversized create circular fire squad arkk sell spur nikko sell amp vice versa big ownership stake leave nikko right
309,309,BradMunchen,"1/ @CathieDWood is in a dire liquidity trap w/ 18 of her positions worth $9.6bn (19% of NAV). 

Japan's Nikko paid ARK to mimic $ARKK &amp; sell it in Japan. 

What shows up as Nikko's positions are often held in equal size by Sumitomo Mitsui. This amplifies ARK's exposure by 1.8x https://t.co/ZpHIdpDwV4",2021-02-28 14:14:16+00:00,8274,51,233,1113,dire liquidity trap w position worth 6bn nav japan nikko pay mimic arkk amp sell japan show nikko position often hold equal size sumitomo mitsui amplify exposure 8x
310,310,MarketRebels,"Cathie Wood’s @ARKInvest added 3.366m shares of $PLTR today.

$ARKK - 2.498m
$ARKW - 868k",2021-02-27 00:12:48+00:00,130787,30,60,416,cathie wood add 366m share pltr today arkk 498m arkw 868k
311,311,JulianKlymochko,"I don't understand the schadenfreude regarding Cathie Wood and $ARKK

We haven't seen a ""star manager"" in decades, nor a prominent woman in asset management. These are great things for the industry

Irrespective of her investment style, her success should be celebrated",2021-02-26 13:58:57+00:00,22578,23,12,215,understand schadenfreude regard cathie wood arkk see star manager decade prominent woman asset management great thing industry irrespective investment style success celebrate
312,312,TESLAcharts,"All five funds see outflows. Total $443mm. 
$ARKK $ARKG $ARKW $ARKF $ARKQ https://t.co/xDc8qGQDEq",2021-02-26 11:09:35+00:00,46228,27,34,220,five fund see outflow total 443mm arkk arkg arkw arkf arkq
313,313,TheMarketDog,"$ARKK $ARKG update

I think @CathieDWood  is blowing up her fund

Sold her most stable cos

$AMZN 25%
$AAPL 18%
$CRM 100% ($100M)
$RGN 6%
$NVS
$TSM 33%

Added on her biggest overvalued

$TSLA down to 6% of port. from 9% despite buying 

Adding $TDOC $SQ $BEAM $TWTR https://t.co/an4SYLliSc",2021-02-26 02:03:41+00:00,7923,84,66,429,arkk arkg update think blow fund sell stable co amzn aapl crm 100m rgn nv tsm add big overvalue tsla port despite buy add tdoc sq beam twtr
315,315,zerohedge,another record outflow for ARKK on deck?,2021-02-25 21:07:46+00:00,1102352,23,21,280,another record outflow arkk deck
316,316,StockJabber,"$ARKK is down 6% today and 15% over the last five days.

IMO, this could lead to redemptions, forced selling, predatory shorts, and a spiral downwards, especially if ARK doesn't address the liquidity problem early. https://t.co/W4jQmS0KYA",2021-02-25 21:03:50+00:00,45291,26,38,236,arkk today last five day imo could lead redemption force sell predatory short spiral downwards especially address liquidity problem early
317,317,StockDweebs,"Damn.. even Cathy Wood is hurting :/

$ARKK

Her ETF just broke the daily uptrend... https://t.co/kKOG0xQZNL",2021-02-25 20:40:39+00:00,180524,70,32,465,damn even cathy wood hurt arkk etf break daily uptrend
318,318,TeminatorTrader,"Expect another massive redemption day in the $ARKK funds which will lead to more weakness tomorrow. She created a house of cards and is now buying the most illiquid names like a total rookie . Soon she might have to sell those same names. I'd be wary of owning any of them 

$TSLA",2021-02-25 20:30:57+00:00,9219,22,22,331,expect another massive redemption day arkk fund lead weakness tomorrow create house card buy illiquid name like total rookie soon might sell name wary own tsla
319,319,goto_nikkei,"◆ARKKに警戒も
・昨年秋から人気化している米ETFのARKK
・Teslaなどに集中投資
・純資産257億ドル
・最近プット（売る権利）の取引が急増
　＝価格下落に備え
・キャシー・ウッドCEOは頻繁にメディア出演
　昨日は一時急落したTesla株を「多く買った」(Bloomberg)

▽FT
https://t.co/H8PKu3xllZ https://t.co/IBDl48pkRB",2021-02-24 21:37:18+00:00,249768,1,51,338,arkk etfarkk tesla ceo tesla bloomberg ft
320,320,Cokedupoptions,Accidentally withdrew $465M from $ARKK yesterday. How do I put it back??,2021-02-24 15:50:20+00:00,124767,68,21,888,accidentally withdraw 465m arkk yesterday put back
321,321,garyblack00,"I’m long $TSLA, but let’s keep it real. Cathie Wood buys TSLA when $ARKK’s position falls below 10% and sells TSLA when it goes above 10%. There’s no signaling in the rebalancing. Cathie will often act tactically and wait a few days to rebalance if she has a directional view.",2021-02-24 15:01:32+00:00,85533,82,43,1054,long tsla let keep real cathie wood buy tsla arkk position fall sell tsla go signal rebalancing cathie often act tactically wait day rebalance directional view
322,322,TESLAcharts,"I know! Let’s buy half a million shares of $TSLA while the rest of our portfolio is getting crushed and we are facing unprecedented redemptions! 

The Cathie Wood / Elon Musk relationship is going to be interesting to unpack, to say the least. 

$ARKK https://t.co/lcskv13oEX",2021-02-24 09:06:46+00:00,46228,18,19,217,know let buy half million share tsla rest portfolio get crush face unprecedented redemption cathie wood elon musk relationship go interest unpack say least arkk
